{'loss': 0.2513, 'grad_norm': 14.791645050048828, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6703, 'grad_norm': 45.714054107666016, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4466, 'grad_norm': 24.588685989379883, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2024, 'grad_norm': 26.788192749023438, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.407, 'grad_norm': 24.608963012695312, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2404, 'grad_norm': 10.024580001831055, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.7899, 'grad_norm': 29.842758178710938, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.7037, 'grad_norm': 26.2308406829834, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2817, 'grad_norm': 20.51673698425293, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.207, 'grad_norm': 11.504865646362305, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3355, 'grad_norm': 17.8809814453125, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1468, 'grad_norm': 21.706436157226562, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4514, 'grad_norm': 31.03907012939453, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2659, 'grad_norm': 22.96959114074707, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2523, 'grad_norm': 34.730960845947266, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.158, 'grad_norm': 19.89704132080078, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3724, 'grad_norm': 15.481382369995117, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4389, 'grad_norm': 31.714160919189453, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4085, 'grad_norm': 23.268543243408203, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3707, 'grad_norm': 30.57078742980957, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1784, 'grad_norm': 8.694549560546875, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1836, 'grad_norm': 10.468792915344238, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6957, 'grad_norm': 36.61665725708008, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2513, 'grad_norm': 16.011930465698242, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2631, 'grad_norm': 19.97811508178711, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2776, 'grad_norm': 18.17865753173828, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0175, 'grad_norm': 1.5926222801208496, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6333, 'grad_norm': 39.892948150634766, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2273, 'grad_norm': 13.991755485534668, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2824, 'grad_norm': 20.075044631958008, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3337, 'grad_norm': 17.252363204956055, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6509, 'grad_norm': 27.62438201904297, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4659, 'grad_norm': 25.846385955810547, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6033, 'grad_norm': 34.041988372802734, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3141, 'grad_norm': 15.171786308288574, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.2147, 'grad_norm': 13.557120323181152, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1605, 'grad_norm': 15.705541610717773, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.5617, 'grad_norm': 47.38176727294922, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1844, 'grad_norm': 14.949834823608398, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.1527, 'grad_norm': 13.312475204467773, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.0885, 'grad_norm': 12.057575225830078, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.6872, 'grad_norm': 50.36595153808594, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3515, 'grad_norm': 27.637807846069336, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.3322, 'grad_norm': 17.302894592285156, 'learning_rate': 1e-06, 'epoch': 0.02}
{'loss': 0.4749, 'grad_norm': 47.159854888916016, 'learning_rate': 1e-06, 'epoch': 0.02}
